Date,Description,Debit,Credit,Balance
2026-01-02,Deposit 0,,2352.62,27352.62
2026-01-03,Payment 1,1351.86,,26000.76
2026-01-04,Payment 2,496.92,,25503.84
2026-01-05,Payment 3,280.28,,25223.56
2026-01-06,Payment 4,132.65,,25090.91
2026-01-07,Payment 5,618.48,,24472.43
2026-01-08,Deposit 6,,1369.31,25841.74
2026-01-09,Payment 7,320.53,,25521.21
2026-01-10,Payment 8,1977.37,,23543.84
2026-01-11,Deposit 9,,2859.76,26403.60
2026-01-12,Payment 10,1141.87,,25261.73
2026-01-13,Deposit 11,,987.59,26249.32
2026-01-14,Deposit 12,,3677.63,29926.95
2026-01-15,Deposit 13,,8260.26,38187.21
2026-01-16,Payment 14,1473.36,,36713.85
2026-01-17,Payment 15,1574.33,,35139.52
2026-01-18,Payment 16,918.3,,34221.22
2026-01-19,Deposit 17,,3758.05,37979.27
2026-01-20,Payment 18,386.78,,37592.49
2026-01-21,Payment 19,1184.61,,36407.88
2026-01-22,Payment 20,369.05,,36038.83
2026-01-23,Payment 21,753.62,,35285.21
2026-01-24,Deposit 22,,8213.03,43498.24
2026-01-25,Deposit 23,,6365.75,49863.99
2026-01-26,Payment 24,2037.28,,47826.71
2026-01-27,Payment 25,502.35,,47324.36
2026-01-28,Deposit 26,,2396.05,49720.41
2026-01-29,Payment 27,2354.08,,47366.33
2026-01-30,Deposit 28,,2485.45,49851.78
2026-01-31,Deposit 29,,8598.53,58450.31
2026-02-01,Deposit 30,,2101.16,60551.47
2026-02-02,Payment 31,2236.07,,58315.40
2026-02-03,Deposit 32,,3738.73,62054.13
2026-02-04,Payment 33,225.31,,61828.82
2026-02-05,Payment 34,739.52,,61089.30
2026-02-06,Deposit 35,,2518.27,63607.57
2026-02-07,Payment 36,199.31,,63408.26
2026-02-08,Deposit 37,,5246.08,68654.34
2026-02-09,Payment 38,1788.82,,66865.52
2026-02-10,Deposit 39,,7634.23,74499.75
2026-02-11,Payment 40,2375.55,,72124.20
2026-02-12,Payment 41,1094.07,,71030.13
2026-02-13,Deposit 42,,7986.97,79017.10
2026-02-14,Deposit 43,,8110.66,87127.76
