Created,Team,Sales
20260127,North,7646.35
20260313,North,7573.59
20260408,East,3081.13
20260413,East,6060.95
20260402,North,3349.37
20260320,East,7932.93
20260117,South,2723.77
20260504,South,4241.37
20260426,South,5948.49
20260623,East,5493.29
20260111,North,6904.86
20260406,South,2835.10
20260510,North,6991.22
20260320,North,1430.44
20260321,South,4828.93
20260521,South,1957.11
20260401,South,3417.47
20260627,East,7972.74
20260618,East,3788.81
20260124,North,5443.58
20260118,East,3539.82
20260208,North,5513.36
20260617,South,3336.97
20260107,North,6825.80
20260412,East,4300.01
20260609,North,3217.26
20260612,East,5864.84
20260319,East,2512.95
20260326,East,5964.55
20260107,South,6677.51
20260601,South,4895.69
20260602,East,3557.73
20260621,South,3794.35
20260408,South,7663.31
20260521,North,2062.49
20260410,South,3275.38
20260506,East,4644.74
20260321,South,2993.34
20260102,East,3522.81
20260619,North,3856.60
20260408,South,2435.76
20260327,East,1520.43
20260609,East,6471.07
20260309,East,7157.21
20260414,South,2174.68
20260110,South,1368.43
20260205,North,5162.98
20260205,South,4852.21
20260108,East,5864.46
20260313,South,5515.66
20260321,South,3969.13
20260318,South,6445.28
20260203,North,6264.52
20260321,North,7927.03
20260313,South,4069.36
20260103,East,5429.62
20260324,East,6010.30
20260302,North,902.83
20260513,North,2630.53
20260610,North,6732.40
20260519,South,4559.63
20260517,North,4223.92
20260622,North,5376.20
20260527,South,5603.85
20260226,South,7708.42
20260119,South,6519.62
20260310,East,1715.08
20260320,East,2314.68
20260508,North,4987.36
20260321,North,4758.78
20260222,East,6938.69
20260517,East,4289.52
20260125,North,3226.63
20260411,East,3598.50
20260320,North,2066.31
20260220,North,2653.44
20260117,South,2266.71
20260201,East,5870.69
20260113,East,2749.03
20260527,South,741.87
20260412,East,1605.75
20260422,East,577.72
20260517,East,2819.25
20260225,East,3567.25
20260312,South,7998.50
20260405,North,3750.93
20260523,South,5484.24
20260307,North,3794.01
20260223,East,3356.90
20260220,North,2212.56
20260206,North,812.26
20260124,East,5864.12
20260301,East,5752.41
20260326,South,3363.37
20260516,East,3762.79
20260507,South,4661.37
20260413,North,6777.14
20260524,East,5287.03
20260208,South,3472.29
20260608,South,1414.11
20260321,South,5447.31
20260302,East,5113.24
20260622,South,5830.89
20260517,South,4157.54
20260318,North,2136.80
20260311,North,2147.90
20260212,East,4416.58
20260202,North,3499.36
20260604,South,5558.74
20260516,North,7917.35
20260124,East,5607.58
20260604,North,6150.65
20260617,South,4822.94
20260625,South,5480.15
20260607,East,5805.90
20260527,East,7077.58
20260226,East,2904.65
20260121,South,2587.24
20260207,South,1897.22
20260116,East,1427.03
20260622,North,4776.50
20260515,South,2436.91
20260412,North,6739.46
20260423,North,4048.81
20260411,East,1810.79
20260203,North,3777.84
20260219,North,2297.36
20260609,South,4875.19
20260119,East,7079.52
20260512,East,6840.65
20260520,South,4109.23
20260425,East,4536.79
20260327,East,7043.08
20260101,East,5210.87
20260504,East,3876.82
20260306,North,1073.19
20260408,South,6580.59
20260315,South,2953.81
20260215,East,6875.36
20260521,East,734.88
20260205,South,1274.02
20260107,East,4277.10
20260304,East,7992.36
20260416,North,5191.63
20260612,South,1102.37
20260309,East,1430.05
20260604,South,3407.12
20260619,South,6755.79
20260420,East,5372.37
20260106,North,7867.06
20260601,South,4944.59
20260105,North,1000.27
20260526,East,6445.94
20260611,North,4526.52
20260618,South,4764.72
20260102,South,2303.90
20260106,East,7900.20
20260215,East,5487.64
20260606,South,5315.13
20260517,South,3141.44
20260208,East,5601.86
20260220,South,7330.02
20260422,South,4047.10
20260518,North,5770.88
20260304,East,7407.10
20260321,North,2890.23
20260502,South,5928.63
20260221,North,4974.28
20260222,North,3518.46
20260325,East,5737.94
20260127,North,4118.19
20260315,South,2707.52
20260420,North,922.87
20260202,North,7111.51
20260211,East,4745.59
20260522,East,5902.22
20260524,East,6405.02
20260427,North,6871.69
20260206,North,3492.34
20260309,East,4667.16
