Sales Export Report
Generated: 2026-07-01 by reporting-suite
Filters: region=All; period=H1

Date,Region,Revenue
2026-03-03,East,4226.85
2026-02-27,East,6690.36
2026-03-06,East,4586.69
2026-04-13,East,2285.82
2026-04-07,North,2215.37
2026-01-25,East,4308.04
2026-05-08,East,5488.41
2026-02-27,East,3765.08
2026-02-28,East,2416.17
2026-03-17,West,2423.64
2026-01-07,North,1572.96
2026-04-05,North,4019.96
2026-05-30,West,6106.41
2026-01-20,West,1174.06
2026-05-21,North,2538.63
2026-01-21,West,5663.55
2026-01-20,North,2796.25
2026-01-30,West,3949.70
2026-05-20,East,4246.92
2026-01-06,East,1075.33
2026-05-25,West,3506.41
2026-03-06,North,2563.95
2026-03-24,North,1735.89
2026-05-25,West,1237.33
2026-01-29,North,4352.61
2026-05-18,West,5723.80
2026-02-16,North,1978.27
2026-04-17,North,5159.48
2026-04-24,West,989.28
2026-06-01,North,4183.67
2026-05-30,West,5878.30
2026-01-27,West,5261.69
2026-02-07,North,5224.17
2026-03-29,West,6002.64
2026-02-12,East,1674.25
2026-05-14,East,1847.38
2026-03-13,East,1504.46
2026-05-25,North,1408.02
2026-04-12,North,2758.44
2026-06-07,North,1419.85
2026-03-14,North,545.75
2026-02-23,North,965.96
2026-04-20,North,582.42
2026-02-24,West,5088.50
2026-04-20,North,2067.81
2026-02-04,North,2236.03
2026-05-22,East,4909.19
2026-06-08,North,1488.18
2026-02-15,North,5374.08
2026-03-05,West,1427.46
2026-01-28,West,2536.20
2026-02-15,East,3996.80
2026-03-04,North,6832.78
2026-04-30,East,2867.83
2026-01-17,West,3650.34
2026-06-02,East,3768.32
2026-03-31,North,6188.67
2026-04-29,North,2995.59
2026-05-30,East,4649.63
2026-05-24,West,6160.59
2026-01-07,North,994.33
2026-04-07,West,3767.37
2026-04-01,West,556.78
2026-03-09,West,3465.25
2026-06-12,East,1855.22
2026-05-08,West,1127.68
2026-04-08,West,1301.36
2026-05-09,West,4677.94
2026-05-26,East,6347.10
2026-03-03,East,5206.70
2026-02-05,West,2642.50
2026-06-10,North,2898.86
2026-05-17,West,6470.74
2026-04-15,West,438.32
2026-04-20,West,6087.05
2026-05-29,North,2791.20
2026-03-27,North,3531.65
2026-02-21,East,1969.13
2026-01-19,North,6692.95
2026-03-02,West,3205.93
2026-04-03,East,6290.76
2026-05-28,East,2655.21
2026-02-23,West,5698.67
2026-04-05,North,2418.93
2026-03-18,West,3405.20
2026-01-30,West,5472.12
2026-05-03,North,5218.69
2026-03-13,North,4796.74
2026-06-06,East,568.65
2026-05-22,East,408.86
2026-04-01,East,6137.30
2026-02-08,North,2682.54
2026-06-01,West,6354.44
2026-06-13,West,4248.47
2026-04-14,West,4744.45
2026-03-08,East,734.11
2026-02-17,East,2668.61
2026-04-15,East,3458.75
2026-04-03,West,5435.23
2026-03-23,West,6606.80
2026-01-25,East,657.48
2026-04-18,West,5012.12
2026-04-21,West,3195.95
2026-05-12,North,1711.74
2026-05-30,West,2275.08
2026-02-08,West,3259.33
2026-04-05,West,1057.09
2026-05-14,West,2420.51
2026-04-09,West,5920.36
2026-03-22,North,5279.83
2026-03-19,North,2484.40
2026-03-24,East,3425.71
2026-06-08,West,5604.59
2026-05-13,East,3467.30
2026-03-11,West,6249.78
2026-02-03,North,5305.12
2026-05-24,East,958.88
2026-02-11,East,5098.41
2026-05-21,West,3444.07
2026-05-31,North,2972.53
2026-04-25,West,3211.20
2026-04-15,North,5870.60
2026-03-02,West,1254.29
2026-01-15,West,1303.83
2026-03-05,North,5221.21
2026-02-28,East,5495.95
2026-01-18,North,6754.70
2026-04-25,North,315.64
2026-02-14,West,3602.38
2026-04-22,North,1546.80
2026-01-23,East,4877.78
2026-06-10,West,4215.19
2026-04-19,West,3730.49
2026-04-06,East,1357.22
2026-04-12,North,5833.73
2026-03-06,North,5495.33
2026-03-14,West,2715.10
2026-05-12,North,1901.91
2026-04-13,East,5590.66
2026-02-04,East,582.28
2026-06-06,North,544.04
2026-04-01,North,1055.82
2026-02-10,East,3132.01
2026-04-14,East,991.24
2026-04-12,East,1974.70
2026-04-16,North,5272.34
2026-05-31,East,2588.81
2026-06-08,East,1663.48
2026-02-13,North,6944.34
2026-02-09,East,2532.88
