Client,Amount,Fees,Pipeline Value
Client 0,"51,922.80 USD",8'753.32 CHF,$3.8M
Client 1,"15,924.30 USD",6'126.40 CHF,$0.9M
Client 2,"44,250.65 USD",7'191.11 CHF,$5.4M
Client 3,"51,706.90 USD",5'544.84 CHF,$2.5M
Client 4,"2,221.79 USD",2'313.45 CHF,$2.5M
Client 5,"12,957.11 USD",1'545.17 CHF,$0.9M
Client 6,"50,241.67 USD",5'146.29 CHF,$0.9M
Client 7,"29,288.48 USD",3'614.61 CHF,$2.5M
Client 8,"59,644.98 USD",5'519.09 CHF,$5.4M
Client 9,"30,385.39 USD",6'903.51 CHF,$3.8M
Client 10,"41,428.29 USD",2'318.29 CHF,$0.9M
Client 11,"44,836.45 USD",4'435.12 CHF,$0.9M
Client 12,"20,767.82 USD",2'706.03 CHF,$0.9M
Client 13,"40,244.67 USD",8'531.51 CHF,$1.2M
Client 14,"4,118.70 USD",8'956.82 CHF,$3.8M
Client 15,"9,666.85 USD",7'818.86 CHF,$1.2M
Client 16,"52,978.77 USD",2'656.53 CHF,$0.9M
Client 17,"29,072.72 USD",2'078.09 CHF,$1.2M
Client 18,"55,626.76 USD",4'376.07 CHF,$3.8M
Client 19,"24,190.74 USD",4'193.06 CHF,$3.8M
Client 20,"16,271.85 USD",3'085.72 CHF,$1.2M
Client 21,"26,552.68 USD",7'984.09 CHF,$2.5M
Client 22,"55,725.21 USD",1'368.37 CHF,$0.9M
Client 23,"55,078.26 USD",8'208.37 CHF,$1.2M
Client 24,"37,234.21 USD",1'519.90 CHF,$3.8M
Client 25,"16,341.73 USD",8'084.89 CHF,$5.4M
Client 26,"20,798.18 USD",4'343.06 CHF,$2.5M
Client 27,"28,108.70 USD",2'350.00 CHF,$3.8M
Client 28,"6,361.69 USD",3'842.94 CHF,$0.9M
Client 29,"10,922.51 USD",3'304.97 CHF,$2.5M
Client 30,"19,691.61 USD",4'431.57 CHF,$3.8M
Client 31,"43,566.62 USD",3'551.37 CHF,$3.8M
Client 32,"33,179.42 USD",2'255.43 CHF,$1.2M
