Datum;Kunde;Region;Umsatz;Menge
15.03.2026;Fischer & Söhne;West;€ 2.242,12;14
28.05.2026;Müller GmbH;Süd;€ 4.567,02;27
13.04.2026;Fischer & Söhne;Süd;€ 12.177,50;13
21.03.2026;Müller GmbH;Nord;€ 6.173,62;3
17.01.2026;Weber KG;Nord;€ 1.022,65;18
18.04.2026;Schneider AG;Nord;€ 3.202,30;30
17.03.2026;Müller GmbH;Süd;€ 2.020,25;1
02.02.2026;Schneider AG;West;€ 1.447,78;20
23.03.2026;Müller GmbH;Süd;€ 1.191,41;17
10.02.2026;Weber KG;West;€ 1.047,18;36
05.02.2026;Weber KG;Süd;€ 14.252,75;23
17.03.2026;Weber KG;West;€ 8.183,49;37
01.05.2026;Weber KG;West;€ 1.119,50;9
11.03.2026;Weber KG;West;€ 15.646,27;39
06.04.2026;Schneider AG;Nord;€ 10.182,33;26
28.01.2026;Schneider AG;Ost;€ 10.632,80;10
17.06.2026;Weber KG;Süd;€ 1.031,71;31
05.03.2026;Fischer & Söhne;West;€ 1.936,91;25
04.04.2026;Müller GmbH;Nord;€ 1.587,73;16
05.05.2026;Weber KG;Ost;€ 1.087,41;29
24.01.2026;Fischer & Söhne;Nord;€ 13.349,49;37
03.05.2026;Becker SE;West;€ 2.105,94;4
06.06.2026;Weber KG;West;€ 4.081,44;4
22.01.2026;Müller GmbH;Ost;€ 1.065,10;10
12.03.2026;Schneider AG;Ost;€ 10.692,20;29
23.04.2026;Becker SE;Süd;€ 932,07;6
18.06.2026;Schneider AG;Süd;€ 4.380,10;1
18.02.2026;Becker SE;Nord;€ 835,45;34
06.05.2026;Müller GmbH;Nord;€ 3.176,19;12
21.05.2026;Schneider AG;Nord;€ 7.126,98;2
01.06.2026;Fischer & Söhne;Süd;€ 4.427,86;22
07.04.2026;Weber KG;Ost;€ 3.915,46;29
17.05.2026;Schneider AG;West;€ 5.899,38;1
07.02.2026;Weber KG;Süd;€ 7.580,49;3
29.05.2026;Fischer & Söhne;Nord;€ 2.108,44;30
18.05.2026;Weber KG;Nord;€ 2.194,92;25
27.05.2026;Fischer & Söhne;West;€ 1.577,15;34
13.03.2026;Fischer & Söhne;Süd;€ 14.664,79;8
10.06.2026;Fischer & Söhne;West;€ 14.065,44;4
09.04.2026;Müller GmbH;Nord;€ 6.896,97;23
07.06.2026;Müller GmbH;Süd;€ 4.039,45;3
02.02.2026;Schneider AG;West;€ 1.213,16;28
10.05.2026;Becker SE;Ost;€ 850,12;10
19.01.2026;Weber KG;West;€ 1.158,33;38
27.02.2026;Becker SE;Nord;€ 881,35;27
02.05.2026;Weber KG;Süd;€ 16.062,09;31
16.06.2026;Schneider AG;Ost;€ 2.264,76;7
24.03.2026;Weber KG;Ost;€ 8.056,10;1
18.06.2026;Becker SE;West;€ 6.062,84;13
16.06.2026;Müller GmbH;Ost;€ 2.167,37;14
06.05.2026;Müller GmbH;Ost;€ 1.692,96;23
23.02.2026;Weber KG;Süd;€ 3.611,86;6
07.05.2026;Weber KG;Ost;€ 3.525,74;35
30.04.2026;Fischer & Söhne;Süd;€ 1.570,88;18
28.03.2026;Müller GmbH;Nord;€ 5.820,55;30
11.04.2026;Fischer & Söhne;Ost;€ 10.538,67;25
22.02.2026;Müller GmbH;Ost;€ 1.708,89;36
21.05.2026;Fischer & Söhne;Ost;€ 1.734,03;24
31.03.2026;Becker SE;Nord;€ 2.219,37;32
24.03.2026;Müller GmbH;Nord;€ 3.309,96;12
01.05.2026;Weber KG;Süd;€ 11.741,61;33
20.06.2026;Becker SE;West;€ 3.379,19;37
06.02.2026;Schneider AG;Nord;€ 16.189,02;19
24.05.2026;Müller GmbH;Nord;€ 6.727,72;13
03.02.2026;Fischer & Söhne;Süd;€ 8.708,52;15
28.02.2026;Fischer & Söhne;Nord;€ 6.084,93;7
16.05.2026;Weber KG;Nord;€ 842,13;4
09.06.2026;Schneider AG;West;€ 8.682,18;1
11.06.2026;Fischer & Söhne;West;€ 13.854,33;14
17.02.2026;Müller GmbH;Ost;€ 8.152,30;12
04.02.2026;Becker SE;West;€ 7.881,67;37
24.01.2026;Schneider AG;West;€ 1.628,60;23
10.03.2026;Fischer & Söhne;Süd;€ 1.846,02;33
23.02.2026;Weber KG;Ost;€ 8.890,64;9
08.06.2026;Becker SE;West;€ 1.460,71;23
30.05.2026;Weber KG;West;€ 1.214,10;13
20.01.2026;Schneider AG;Süd;€ 3.255,71;30
24.04.2026;Weber KG;Nord;€ 1.549,03;32
17.05.2026;Schneider AG;West;€ 14.655,31;16
19.04.2026;Müller GmbH;West;€ 10.273,30;23
16.02.2026;Müller GmbH;West;€ 1.193,47;1
02.06.2026;Becker SE;Süd;€ 2.202,48;12
05.05.2026;Weber KG;West;€ 945,15;38
16.06.2026;Müller GmbH;Süd;€ 10.315,48;33
24.02.2026;Becker SE;West;€ 3.775,91;21
24.05.2026;Becker SE;West;€ 909,45;15
21.01.2026;Schneider AG;West;€ 774,48;26
