order_id,customer_id,order_date,amount
O0,C7,2026-04-19,707.75
O1,C1,2026-04-03,1744.63
O2,C3,2026-03-22,1783.53
O3,C3,2026-06-04,509.25
O4,C12,2026-02-09,1326.5
O5,C7,2026-01-19,445.9
O6,C7,2026-05-10,981.54
O7,C10,2026-01-20,1529.97
O8,C8,2026-03-11,1593.54
O9,C9,2026-02-15,1085.35
O10,C5,2026-05-01,1438.79
O11,C3,2026-05-07,678.67
O12,C1,2026-03-06,128.2
O13,C0,2026-05-05,568.73
O14,C9,2026-02-23,888.94
O15,C9,2026-06-02,265.12
O16,C8,2026-03-09,494.14
O17,C5,2026-05-31,1428.59
O18,C14,2026-01-16,299.39
O19,C8,2026-04-04,244.49
O20,C3,2026-06-08,1236.31
O21,C14,2026-04-10,192.33
O22,C3,2026-06-13,477.69
O23,C7,2026-03-27,1293.91
O24,C1,2026-01-28,487.8
O25,C12,2026-03-19,1375.39
O26,C11,2026-05-14,1918.63
O27,C0,2026-05-03,388.76
O28,C11,2026-05-25,1999.37
O29,C4,2026-04-18,240.34
O30,C11,2026-03-03,1618.09
O31,C6,2026-05-15,608.56
O32,C13,2026-04-20,1021.94
O33,C6,2026-02-10,1444.65
O34,C1,2026-05-30,1728.13
O35,C14,2026-03-24,1515.21
O36,C13,2026-01-13,1575.14
O37,C0,2026-05-03,1326.73
O38,C7,2026-05-24,905.78
O39,C12,2026-01-23,163.8
O40,C2,2026-02-18,742.84
O41,C8,2026-05-30,432.41
O42,C7,2026-04-18,1138.58
O43,C2,2026-06-04,770.15
O44,C0,2026-04-21,147.44
O45,C3,2026-05-03,357.51
O46,C2,2026-01-20,995.21
O47,C13,2026-03-02,1954.36
O48,C5,2026-04-16,314.2
O49,C9,2026-01-25,1817.55
O50,C2,2026-06-02,311.86
O51,C10,2026-02-24,1114.59
O52,C2,2026-05-01,586.01
O53,C9,2026-02-07,1303.48
O54,C0,2026-01-26,781.49
O55,C1,2026-04-04,1657.05
O56,C0,2026-03-22,130.36
O57,C12,2026-01-21,219.2
O58,C13,2026-05-29,366.11
O59,C3,2026-04-02,1602.1
O60,C3,2026-01-19,486.15
O61,C8,2026-01-08,1194.83
O62,C13,2026-05-20,1030.45
O63,C2,2026-04-04,726.68
O64,C10,2026-01-11,427.02
O65,C6,2026-03-11,370.65
O66,C10,2026-01-20,1169.79
O67,C10,2026-04-27,776.88
O68,C8,2026-04-26,1419.5
O69,C3,2026-04-22,830.13
O70,C2,2026-03-04,1244.85
O71,C8,2026-04-30,639.18
O72,C0,2026-05-30,1056.15
O73,C9,2026-06-11,335.89
O74,C10,2026-03-25,1858.63
O75,C11,2026-05-30,1054.89
O76,C11,2026-01-31,1784.02
O77,C10,2026-05-09,753.6
O78,C11,2026-02-12,1810.98
O79,C1,2026-01-13,171.44
O80,C9,2026-06-05,1921.16
O81,C12,2026-06-07,1230.15
O82,C3,2026-03-30,1245.26
O83,C9,2026-01-31,1284.85
O84,C5,2026-06-07,1152.68
O85,C7,2026-05-25,1744.48
O86,C1,2026-04-06,1103.39
O87,C10,2026-06-03,131.49
O88,C11,2026-01-18,966.46
O89,C1,2026-04-18,779.24
O90,C11,2026-04-02,758.54
O91,C6,2026-06-03,139.42
O92,C3,2026-02-12,842.62
O93,C13,2026-03-08,1901.39
O94,C13,2026-04-24,1377.99
O95,C8,2026-03-03,1175.91
O96,C14,2026-05-01,366.73
O97,C14,2026-03-31,626.6
O98,C8,2026-05-19,1447.95
O99,C0,2026-03-19,580.91
O100,C4,2026-05-24,1974.98
O101,C12,2026-03-12,1787.78
O102,C10,2026-05-12,726.66
O103,C6,2026-04-13,1005.94
O104,C9,2026-06-09,1695.1
O105,C9,2026-03-12,1675.26
O106,C3,2026-01-07,1812.87
O107,C9,2026-03-18,1676.49
O108,C13,2026-06-04,786.81
O109,C14,2026-02-13,1696.96
O110,C7,2026-05-14,1119.76
O111,C14,2026-01-21,755.36
O112,C11,2026-02-08,742.53
O113,C4,2026-02-05,509.25
O114,C6,2026-01-11,1011.13
O115,C11,2026-02-21,1889.38
O116,C5,2026-04-07,1897.35
O117,C5,2026-05-20,1400.33
O118,C2,2026-05-06,726.33
O119,C1,2026-04-05,119.09
O120,C13,2026-05-16,890.88
O121,C6,2026-03-02,360.99
O122,C12,2026-01-20,287.32
O123,C8,2026-01-07,1379.98
O124,C11,2026-03-28,935.37
O125,C0,2026-05-30,1272.38
O126,C4,2026-04-24,1244.31
O127,C4,2026-04-12,788.65
O128,C11,2026-04-04,1011.93
O129,C3,2026-04-04,1546.03
O130,C2,2026-03-08,1139.72
O131,C1,2026-05-09,1524.61
O132,C0,2026-01-13,563.76
O133,C2,2026-04-23,993.06
O134,C1,2026-06-09,1421.14
O135,C7,2026-01-17,1119.28
O136,C5,2026-03-01,403.69
O137,C1,2026-06-06,1703.73
O138,C5,2026-01-09,1655.07
O139,C2,2026-01-20,1133.48
O140,C2,2026-04-15,1966.29
O141,C3,2026-05-27,1408.79
O142,C11,2026-05-14,867.8
O143,C0,2026-05-23,216.63
O144,C11,2026-03-16,97.06
O145,C7,2026-05-29,1580.62
O146,C1,2026-03-01,1893.99
O147,C8,2026-03-27,1789.17
O148,C2,2026-03-04,1298.34
O149,C13,2026-05-02,1432.24
O150,C7,2026-03-13,1642.71
O151,C10,2026-04-10,1052.78
O152,C3,2026-05-08,1041.74
O153,C12,2026-02-24,1088.1
O154,C13,2026-03-21,1736.53
O155,C6,2026-01-15,221.59
O156,C10,2026-02-22,1353.03
O157,C6,2026-03-05,1744.11
O158,C12,2026-02-24,793.35
O159,C5,2026-04-04,1254.29
O160,C1,2026-04-23,1714.15
O161,C0,2026-01-22,1781.85
O162,C11,2026-03-02,674.14
O163,C7,2026-05-24,258.51
O164,C8,2026-04-11,893.15
O165,C1,2026-06-04,325.65
O166,C6,2026-05-02,749.59
O167,C1,2026-04-22,1885.27
