Region,Month,Conversion Pct,Growth %
West,Jan 2026,0.0425,31.9
East,Jan 2026,0.0439,0.1
Central,Jan 2026,0.0257,31.9
South,Jan 2026,0.1462,12.2
West,Feb 2026,0.1208,13.5
East,Feb 2026,0.1322,1.0
Central,Feb 2026,0.1596,-10.3
South,Feb 2026,0.0709,15.8
West,Mar 2026,0.0992,-1.5
East,Mar 2026,0.0432,11.4
Central,Mar 2026,0.1118,38.9
South,Mar 2026,0.1547,-9.4
West,Apr 2026,0.1179,-8.5
East,Apr 2026,0.0902,36.6
Central,Apr 2026,0.1051,-10.0
South,Apr 2026,0.0232,3.4
West,May 2026,0.0525,-12.0
East,May 2026,0.1049,38.7
Central,May 2026,0.0515,6.2
South,May 2026,0.1279,35.3
West,Jun 2026,0.1253,38.5
East,Jun 2026,0.1291,32.2
Central,Jun 2026,0.1793,31.6
South,Jun 2026,0.0899,-8.2
