Date|Product|Region|Revenue
2026-03-14|Max|EMEA|2195.80
2026-03-08|Pro|APAC|7331.33
2026-02-28|Max|EMEA|5474.81
2026-03-29|Basic|NA|6402.78
2026-05-15|Max|NA|1961.23
2026-06-05|Pro|NA|7831.68
2026-06-09|Basic|APAC|2256.74
2026-03-27|Pro|NA|1439.46
2026-05-30|Pro|NA|4369.18
2026-02-06|Basic|APAC|2882.48
2026-03-22|Pro|NA|5420.44
2026-04-15|Max|EMEA|7665.20
2026-01-22|Max|NA|774.44
2026-02-25|Max|NA|7674.93
2026-01-09|Max|NA|1101.73
2026-05-09|Pro|NA|1345.26
2026-01-18|Basic|APAC|2010.43
2026-04-08|Basic|NA|486.64
2026-03-31|Basic|NA|3927.21
2026-05-04|Max|NA|1329.37
2026-05-09|Pro|EMEA|2977.04
2026-04-05|Max|APAC|8369.10
2026-03-21|Basic|EMEA|5160.52
2026-04-12|Max|EMEA|5563.82
2026-04-30|Basic|EMEA|5967.33
2026-03-05|Pro|NA|4161.67
2026-03-06|Pro|EMEA|855.50
2026-02-04|Basic|NA|8684.35
2026-04-15|Max|APAC|8197.75
2026-04-09|Basic|EMEA|6624.09
2026-05-27|Basic|EMEA|3186.06
2026-01-14|Basic|EMEA|8245.45
2026-02-06|Pro|EMEA|8225.82
2026-05-02|Max|NA|5419.23
2026-01-21|Basic|NA|6003.30
2026-05-31|Pro|EMEA|7781.47
2026-03-02|Max|NA|2363.45
2026-05-06|Max|APAC|8550.73
2026-03-01|Pro|NA|1128.96
2026-04-04|Max|NA|8761.61
2026-03-01|Basic|APAC|7587.43
2026-05-11|Max|EMEA|1990.59
2026-05-02|Max|EMEA|6154.94
2026-01-21|Pro|EMEA|6259.91
2026-05-31|Max|APAC|3365.06
2026-03-17|Pro|APAC|2631.94
2026-05-03|Max|EMEA|5788.71
2026-05-01|Basic|EMEA|4121.24
2026-04-30|Basic|NA|2904.20
2026-01-31|Pro|APAC|3054.80
2026-03-13|Basic|NA|1993.22
2026-05-17|Pro|APAC|6363.42
2026-05-25|Basic|NA|3550.61
2026-05-03|Basic|NA|7318.48
2026-05-29|Max|EMEA|3676.23
2026-05-15|Basic|NA|3376.48
2026-01-21|Basic|NA|3239.25
2026-01-18|Max|EMEA|4579.07
2026-04-01|Basic|EMEA|7957.59
2026-03-03|Max|NA|3014.26
2026-03-18|Basic|NA|2627.70
2026-03-13|Basic|EMEA|7000.41
2026-06-04|Pro|NA|238.31
2026-06-10|Max|EMEA|8828.05
2026-03-31|Basic|EMEA|5934.11
2026-05-04|Max|NA|3290.26
2026-02-23|Max|NA|1231.26
2026-02-22|Basic|APAC|3909.21
2026-03-28|Basic|APAC|6944.30
2026-05-07|Pro|EMEA|416.65
2026-04-12|Pro|APAC|7221.31
2026-01-30|Pro|EMEA|3667.93
2026-01-10|Basic|NA|8485.04
2026-05-03|Basic|EMEA|5016.73
2026-01-15|Pro|NA|7521.16
2026-04-12|Pro|EMEA|5529.60
2026-01-27|Pro|EMEA|2487.15
2026-05-20|Max|EMEA|473.69
2026-02-16|Max|APAC|4420.25
2026-01-14|Pro|EMEA|5144.82
2026-04-09|Basic|APAC|804.69
2026-05-06|Basic|NA|1649.78
2026-04-13|Pro|EMEA|8652.87
2026-04-03|Max|APAC|4383.00
2026-05-28|Max|APAC|8370.90
2026-04-10|Basic|EMEA|2891.03
2026-05-26|Max|NA|2670.92
2026-04-15|Max|APAC|601.95
2026-02-07|Basic|NA|7992.63
2026-01-28|Pro|EMEA|2266.21
2026-05-03|Max|EMEA|6885.65
2026-02-01|Basic|APAC|5084.30
2026-05-28|Basic|NA|1944.46
2026-02-25|Basic|APAC|3783.81
2026-06-07|Basic|EMEA|3095.22
2026-01-21|Max|EMEA|1339.48
2026-01-26|Basic|EMEA|4209.48
2026-01-06|Basic|NA|5596.65
2026-01-05|Basic|APAC|2118.78
2026-05-29|Basic|NA|6220.90
2026-01-29|Max|NA|1055.25
2026-01-10|Basic|NA|225.55
2026-01-19|Max|EMEA|2669.85
2026-04-13|Max|EMEA|8563.87
2026-03-23|Pro|NA|348.00
2026-03-31|Max|APAC|2546.97
2026-03-24|Basic|EMEA|6615.62
2026-03-20|Basic|APAC|7576.41
2026-05-27|Pro|NA|3391.85
2026-04-26|Max|NA|6107.94
2026-04-26|Pro|APAC|8434.74
2026-01-07|Basic|APAC|213.55
2026-03-16|Max|NA|3065.13
2026-01-09|Max|NA|6005.23
2026-01-09|Pro|NA|1077.91
2026-04-26|Max|EMEA|6311.04
2026-03-03|Max|APAC|1786.89
2026-02-06|Max|NA|7726.16
2026-03-11|Max|EMEA|631.83
2026-05-15|Pro|EMEA|5037.16
2026-06-10|Basic|EMEA|4479.07
2026-04-08|Max|APAC|4967.61
2026-05-18|Basic|NA|8542.98
2026-02-19|Pro|NA|7980.47
2026-05-10|Pro|EMEA|577.10
2026-03-20|Basic|NA|3455.82
2026-02-17|Pro|EMEA|1942.85
2026-02-23|Basic|NA|3681.02
2026-02-17|Max|APAC|8916.11
2026-04-25|Max|EMEA|7677.93
2026-04-22|Max|EMEA|7488.60
2026-01-16|Pro|EMEA|8632.90
2026-03-12|Max|EMEA|4053.80
2026-01-07|Pro|EMEA|4755.26
2026-03-21|Max|EMEA|4790.07
2026-02-21|Pro|APAC|1022.39
2026-01-09|Max|NA|8856.10
2026-02-22|Max|EMEA|8233.70
2026-06-10|Basic|EMEA|6276.57
2026-05-22|Pro|EMEA|5595.73
