Date,Open,High,Low,Close,Volume
2026-01-02,42.00,43.13,40.83,42.78,443236
2026-01-03,42.78,44.03,42.21,43.86,87208
2026-01-04,43.86,45.36,43.50,45.06,703226
2026-01-05,45.06,45.61,44.06,44.71,167760
2026-01-06,44.71,45.88,44.06,44.54,899010
2026-01-07,44.54,46.16,43.75,45.21,558528
2026-01-08,45.21,46.04,43.40,43.76,446327
2026-01-09,43.76,44.25,42.35,43.33,412393
2026-01-10,43.33,45.75,42.25,44.58,574825
2026-01-11,44.58,46.42,43.89,46.07,98377
2026-01-12,46.07,47.87,44.87,46.70,796385
2026-01-13,46.70,47.26,45.40,46.58,223438
2026-01-14,46.58,46.87,45.12,45.67,795847
2026-01-15,45.67,45.79,44.42,45.10,451290
2026-01-16,45.10,45.50,45.00,45.41,738182
2026-01-17,45.41,47.51,45.30,46.63,842575
2026-01-18,46.63,49.15,45.97,48.01,126790
2026-01-19,48.01,48.14,46.98,47.27,199023
2026-01-20,47.27,47.45,44.74,45.92,554519
2026-01-21,45.92,46.33,43.82,44.69,199761
2026-01-22,44.69,44.99,43.58,43.60,330876
2026-01-23,43.60,45.12,42.61,44.15,328432
2026-01-24,44.15,45.75,43.91,44.56,546094
2026-01-25,44.56,46.80,44.33,45.99,322666
2026-01-26,45.99,46.74,44.61,44.74,303652
2026-01-27,44.74,45.58,43.09,43.43,600730
2026-01-28,43.43,44.58,43.15,44.09,186535
2026-01-29,44.09,44.26,43.67,43.98,761660
2026-01-30,43.98,46.42,42.83,45.31,331991
2026-01-31,45.31,45.90,44.62,44.89,429163
2026-02-01,44.89,45.42,44.27,44.91,785273
2026-02-02,44.91,46.45,44.26,45.38,890257
2026-02-03,45.38,45.72,44.89,45.24,289216
2026-02-04,45.24,45.74,44.99,45.23,687592
2026-02-05,45.23,45.64,43.43,43.76,374111
2026-02-06,43.76,44.54,41.60,42.38,268941
2026-02-07,42.38,43.69,41.67,43.61,261727
2026-02-08,43.61,44.93,42.94,44.71,702663
2026-02-09,44.71,46.82,43.92,45.87,682752
2026-02-10,45.87,47.84,45.12,46.80,733683
2026-02-11,46.80,47.71,46.48,46.54,487721
2026-02-12,46.54,47.90,46.17,46.73,842086
2026-02-13,46.73,47.29,45.04,45.71,120431
2026-02-14,45.71,45.84,43.37,44.48,394111
2026-02-15,44.48,45.52,43.15,43.82,223593
2026-02-16,43.82,45.56,42.91,45.28,461113
2026-02-17,45.28,47.75,44.69,46.57,497144
2026-02-18,46.57,46.67,45.26,45.93,127472
2026-02-19,45.93,46.63,44.40,44.48,898624
2026-02-20,44.48,45.29,43.54,44.65,524524
2026-02-21,44.65,45.77,43.55,44.74,472232
2026-02-22,44.74,47.08,43.62,45.90,307427
2026-02-23,45.90,46.56,45.41,45.98,892209
2026-02-24,45.98,46.36,45.51,45.59,539923
2026-02-25,45.59,45.63,44.71,45.20,667978
2026-02-26,45.20,45.84,44.43,45.25,635294
2026-02-27,45.25,46.77,44.93,46.18,864767
2026-02-28,46.18,47.09,45.27,45.34,343120
2026-03-01,45.34,46.06,43.75,44.62,154589
2026-03-02,44.62,46.10,43.49,45.44,141129
2026-03-03,45.44,46.37,45.16,45.34,142914
2026-03-04,45.34,45.49,44.11,44.50,825933
2026-03-05,44.50,44.67,43.26,44.46,620825
2026-03-06,44.46,45.64,43.69,45.40,83077
2026-03-07,45.40,45.69,43.60,43.96,199434
2026-03-08,43.96,44.93,42.71,43.26,446718
2026-03-09,43.26,45.09,42.39,44.32,612313
2026-03-10,44.32,45.10,43.40,44.68,302303
2026-03-11,44.68,44.86,43.05,43.58,341315
2026-03-12,43.58,43.60,43.00,43.14,707867
2026-03-13,43.14,45.18,42.96,44.52,170405
2026-03-14,44.52,45.56,42.70,43.55,108175
2026-03-15,43.55,45.63,42.57,45.03,148719
2026-03-16,45.03,46.85,43.99,46.02,194861
2026-03-17,46.02,46.65,44.48,44.99,879010
2026-03-18,44.99,45.76,44.47,45.14,831028
