date,campaign,channel,spend,impressions,clicks,conversions,revenue
2026-05-04,Spring Sale,Google Ads,1250.00,84500,2110,96,7680.00
2026-05-04,Spring Sale,Meta,980.50,102300,1875,71,5325.00
2026-05-11,Spring Sale,Google Ads,1310.00,88200,2245,104,8320.00
2026-05-11,Brand Awareness,Meta,1500.00,215400,1620,22,1540.00
2026-05-18,Spring Sale,Google Ads,1275.25,86100,2190,99,7920.00
2026-05-18,Brand Awareness,LinkedIn,2100.00,45200,880,18,2700.00
2026-05-25,Retargeting,Meta,640.00,38900,1410,88,6160.00
2026-05-25,Brand Awareness,LinkedIn,1950.00,42800,810,15,2250.00
2026-06-01,Summer Launch,Google Ads,1820.00,97600,2680,132,11880.00
2026-06-01,Retargeting,Meta,710.00,41200,1530,94,6580.00
2026-06-08,Summer Launch,Google Ads,1905.00,101300,2810,141,12690.00
2026-06-08,Summer Launch,TikTok,850.00,156700,3120,64,3840.00
2026-06-15,Summer Launch,Google Ads,1875.50,99800,2755,138,12420.00
2026-06-15,Retargeting,Meta,695.00,40100,1495,91,6370.00
2026-06-22,Summer Launch,TikTok,920.00,171200,3390,72,4320.00
2026-06-22,Brand Awareness,LinkedIn,2050.00,44600,845,17,2550.00
